,Status,ActivityCompleted,nps_score,Comments,Sentiment,Device Type,Browser,Comments_spell_checked,Comments_spell_checked_textblob_polarity_score,Comments_spell_checked_txtblob_polarity,Comments_spell_checked_txtblob_polarity_subjectivity
39,Complete,2022-09-01,1.0,I got the error message “sorry our lines got crossed” 10 times in 2 minutes,Negative,Mobile,Safari mobile,I got the error message “sorry our lines got crossed” 10 times in 2 minutes,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0
42,Complete,2022-09-01,5.0,Good and easy website 👍,Positive,Desktop,Safari,Good and easy website 👍,"Sentiment(polarity=0.5666666666666667, subjectivity=0.7166666666666668)",0.5666666666666667,0.7166666666666668
46,Complete,2022-09-01,5.0,Good service,Positive,Mobile,Safari mobile,Good service,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
51,Complete,2022-09-01,4.0,I,Neutral,Mobile,Safari mobile,I,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
53,Complete,2022-09-01,1.0,"After 2-3 selections on the sight, I get a traffic cone icon that says wires must be crossed and cannot further use the website.",Negative,Desktop,Safari,"After 2-3 selections on the sight, I get a traffic cone icon that says wires must be crossed and cannot further use the website.","Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5
55,Complete,2022-09-01,5.0,Ease of use,Positive,Desktop,Chrome,Ease of use,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
56,Complete,2022-09-01,1.0,It is notpading,Negative,Mobile,Safari mobile,It is notpading,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
59,Complete,2022-09-01,2.0,Errors over and over.  Password reset failed to send email or text. Just not a good experience.,Negative,Mobile,Mobile Samsung Browser,Errors over and over. Password reset failed to send email or text. Just not a good experience.,"Sentiment(polarity=-0.425, subjectivity=0.45000000000000007)",-0.425,0.45000000000000007
60,Complete,2022-09-01,1.0,it takes forever to load a page,Negative,Desktop,Chrome,it takes forever to load a page,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
61,Complete,2022-09-01,1.0,errors on website. could not load,Negative,Desktop,Chrome,errors on website. could not load,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
64,Complete,2022-09-01,5.0,Information loaded. I had no questions in my mind that were unanswered,Positive,Mobile,Chrome Mobile,Information loaded. I had no questions in my mind that were unanswered,"Sentiment(polarity=-0.1, subjectivity=0.2)",-0.1,0.2
65,Complete,2022-09-01,5.0,Excellent website. Very informative and easy to use.,Positive,Mobile,Safari mobile,Excellent website. Very informative and easy to use.,"Sentiment(polarity=0.5444444444444444, subjectivity=0.7111111111111111)",0.5444444444444444,0.7111111111111111
66,Complete,2022-09-01,1.0,I cannot connect to my account!!!,Negative,Desktop,Microsoft Edge,I cannot connect to my account!!!,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
71,Complete,2022-09-01,5.0,Yellow and green are cool looking,Positive,Desktop,Safari,Yellow and green are cool looking,"Sentiment(polarity=0.04999999999999999, subjectivity=0.31666666666666665)",0.04999999999999999,0.31666666666666665
73,Complete,2022-09-01,3.0,it's very slow,Negative,Desktop,Microsoft Edge,it's very slow,"Sentiment(polarity=-0.39000000000000007, subjectivity=0.52)",-0.39000000000000007,0.52
74,Complete,2022-09-01,5.0,Easy to navigate,Positive,Mobile,Safari mobile,Easy to navigate,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
75,Complete,2022-09-01,3.0,A stupid high price for delivery fee!!!,Negative,Mobile,Safari mobile,A stupid high price for delivery fee!!!,"Sentiment(polarity=-0.24374999999999997, subjectivity=0.77)",-0.24374999999999997,0.77
76,Complete,2022-09-01,1.0,the system goes down way too much,Negative,Desktop,Chrome,the system goes down way too much,"Sentiment(polarity=0.022222222222222213, subjectivity=0.24444444444444446)",0.022222222222222213,0.24444444444444446
77,Complete,2022-09-01,3.0,The reason is because of the change in the invoicing area from long ago.,Neutral,Desktop,Chrome,The reason is because of the change in the invoicing area from long ago.,"Sentiment(polarity=-0.05, subjectivity=0.4)",-0.05,0.4
78,Complete,2022-09-01,1.0,very slow,Negative,Desktop,Chrome,very slow,"Sentiment(polarity=-0.39000000000000007, subjectivity=0.52)",-0.39000000000000007,0.52
79,Complete,2022-09-01,1.0,too crowded. banners too big,Negative,Desktop,Chrome,too crowded. banners too big,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1
80,Complete,2022-09-01,2.0,Could not get rental price and web site was bouncing all over the place🤮,Negative,Mobile,Safari mobile,Could not get rental price and web site was bouncing all over the place🤮,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
81,Complete,2022-09-01,1.0,cannot check out,Neutral,Desktop,Microsoft Edge,cannot check out,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
83,Complete,2022-09-01,4.0,user friendly,Positive,Desktop,Microsoft Edge,user friendly,"Sentiment(polarity=0.375, subjectivity=0.5)",0.375,0.5
84,Complete,2022-09-01,2.0,Works part of the time.,Positive,Desktop,Chrome,Works part of the time.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
85,Complete,2022-09-01,2.0,"Slow, works 50% of the time",Negative,Desktop,Chrome,"Slow, works 50% of the time","Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
87,Complete,2022-09-01,5.0,Always usefull,Positive,Desktop,Microsoft Edge,Always useful,"Sentiment(polarity=0.3, subjectivity=0.0)",0.3,0.0
88,Complete,2022-09-01,1.0,Sunbelt's website advertises items which Sunbelt does not carry nationwide. Why waste the customer's time?,Negative,Desktop,Chrome,Sunbelt's website advertised items which Sunbelt does not carry nationwide. Why waste the customer's time?,"Sentiment(polarity=-0.2, subjectivity=0.0)",-0.2,0.0
90,Complete,2022-09-01,1.0,Because it's not user freindly,Neutral,Desktop,Chrome,Because it's not user friendly,"Sentiment(polarity=0.375, subjectivity=0.5)",0.375,0.5
91,Complete,2022-09-01,3.0,could be a little easier finding certain equipment under different names,Negative,Desktop,Microsoft Edge,could be a little easier finding certain equipment under different names,"Sentiment(polarity=0.008928571428571425, subjectivity=0.557142857142857)",0.008928571428571425,0.557142857142857
92,Complete,2022-09-01,1.0,didnt work,Negative,Desktop,Chrome,didnt work,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
93,Complete,2022-09-01,5.0,Easy site to navigate. My rep William Verburg was able to train me on how to use most of the options via phone in 15 minutes (He's AWESOME by the Way).  And downloads are fast and accurate.  Its a great platform.  Thanks!,Positive,Desktop,Microsoft Edge,Easy site to navigate. My rep William Verburg was able to train me on how to use most of the options via phone in 15 minutes (He's AWESOME by the Way). And downloads are fast and accurate. Its a great platform. Thanks!,"Sentiment(polarity=0.5104166666666667, subjectivity=0.6427083333333334)",0.5104166666666667,0.6427083333333334
94,Complete,2022-09-01,2.0,It keeps crashing and I can't add a job site/address to add equipment to the cart.,Negative,Desktop,Microsoft Edge,It keeps crashing and I can't add a job site/address to add equipment to the cart.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
97,Complete,2022-09-01,1.0,Horrible UI,Negative,Desktop,Chrome,Horrible I,"Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0
98,Complete,2022-09-01,5.0,easy to use,Positive,Desktop,Chrome,easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
99,Complete,2022-09-01,5.0,Easy to use,Positive,Mobile,Google App,Easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
100,Complete,2022-09-01,1.0,Invoices never load properly. Everyday its something different ever since we changed the old website.  Payments say incomplete but they do end of going through after looking at Wynne.,Negative,Desktop,Chrome,Invoices never load properly. Everyday its something different ever since we changed the old website. Payments say incomplete but they do end of going through after looking at Wynne.,"Sentiment(polarity=-0.03333333333333333, subjectivity=0.4666666666666666)",-0.03333333333333333,0.4666666666666666
101,Complete,2022-09-01,5.0,IT IS VERY EASY TO UNDERSTAND AND WORKS GREAT ONCE I CAN SEE MY RATES ETC,Positive,Desktop,Chrome,In In VERY EAS To UNDERSTAND AND WORK GREAT ONE I CAN EE M RATES TC,"Sentiment(polarity=0.5, subjectivity=0.525)",0.5,0.525
102,Complete,2022-09-01,5.0,I assume that 5 was the best score. The web site is very user friendly. and a helpful  tool.,Positive,Desktop,Firefox,I assume that 5 was the best score. The web site is very user friendly. and a helpful tool.,"Sentiment(polarity=0.525, subjectivity=0.3666666666666667)",0.525,0.3666666666666667
107,Complete,2022-09-01,1.0,it's not user friendly.,Negative,Desktop,Chrome,it's not user friendly.,"Sentiment(polarity=0.375, subjectivity=0.5)",0.375,0.5
108,Complete,2022-09-01,4.0,could be a bit easier to navigate,Negative,Desktop,Chrome,could be a bit easier to navigate,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
110,Complete,2022-09-01,1.0,The quick quote online is bullshit. Was $400 more down the line. Bait and switch.,Negative,Desktop,Chrome,The quick quote online is bullshit. Was $400 more down the line. Bait and switch.,"Sentiment(polarity=0.2259259259259259, subjectivity=0.42962962962962964)",0.2259259259259259,0.42962962962962964
111,Complete,2022-09-01,1.0,nothing is loading,Negative,Desktop,Microsoft Edge,nothing is loading,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
113,Complete,2022-09-01,2.0,because before the update it was a lot easier than this new update,Mixed,Desktop,Chrome,because before the update it was a lot easier than this new update,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453
114,Complete,2022-09-01,1.0,"Typos, Menus doesn't work half the time, whole site just randomly crashes, prices don't match with what locations advertise.",Negative,Desktop,Chrome,"Typo, Genus doesn't work half the time, whole site just randomly crashes, prices don't match with what locations advertise.","Sentiment(polarity=-0.15555555555555556, subjectivity=0.35555555555555557)",-0.15555555555555556,0.35555555555555557
115,Complete,2022-09-01,5.0,USER FRIENDLY,Positive,Desktop,Chrome,SER FRIENDLY,"Sentiment(polarity=0.375, subjectivity=0.5)",0.375,0.5
117,Complete,2022-09-01,5.0,"You guys have the trailers I need, I can easily find what I am looking for. I only wish that It said the width of the trailer so I know if my equiptment would fit",Mixed,Desktop,Chrome,"You guys have the trailers I need, I can easily find what I am looking for. I only wish that It said the width of the trailer so I know if my equipment would fit","Sentiment(polarity=0.2777777777777778, subjectivity=0.7444444444444445)",0.2777777777777778,0.7444444444444445
118,Complete,2022-09-01,1.0,rarely works or works properly,Negative,Desktop,Chrome,rarely works or works properly,"Sentiment(polarity=0.15, subjectivity=0.5)",0.15,0.5
119,Complete,2022-09-01,4.0,I would like to be able to include other peoples email to the reservation as a form of notifying them the reservation has been made.,Negative,Desktop,Chrome,I would like to be able to include other peoples email to the reservation as a form of notifying them the reservation has been made.,"Sentiment(polarity=0.1875, subjectivity=0.5)",0.1875,0.5
121,Complete,2022-09-01,1.0,VERY SLOW,Negative,Desktop,Chrome,VERY SLO,"Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3
122,Complete,2022-09-01,5.0,Always helpful,Positive,Desktop,Chrome,Always helpful,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
123,Complete,2022-09-01,5.0,easy navigation,Positive,Desktop,Microsoft Edge,easy navigation,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
124,Complete,2022-09-01,1.0,Does not work on chrome for employees,Negative,Desktop,Microsoft Edge,Does not work on chrome for employees,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
125,Complete,2022-09-01,3.0,There is too much lag. When someone clicks on items sometimes it never loads and the search bar window disappears and can be very frustrating to a customer. If the website becomes smoother it would be perfect. Also noticed some items don't have any descriptions or very short.,Negative,Desktop,Chrome,There is too much lag. When someone clicks on items sometimes it never loads and the search bar window disappears and can be very frustrating to a customer. If the website becomes smoother it would be perfect. Also noticed some items don't have any descriptions or very short.,"Sentiment(polarity=0.16999999999999998, subjectivity=0.6475000000000001)",0.16999999999999998,0.6475000000000001
127,Complete,2022-09-01,5.0,easy to navigate,Positive,Desktop,Chrome,easy to navigate,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
128,Complete,2022-09-01,5.0,Excellent service!,Positive,Mobile,Safari mobile,Excellent service!,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
133,Complete,2022-09-01,4.0,Errors out frequently and response time is slow when processing,Negative,Desktop,Chrome,Errors out frequently and response time is slow when processing,"Sentiment(polarity=-0.10000000000000002, subjectivity=0.35)",-0.10000000000000002,0.35
135,Complete,2022-09-01,5.0,Explains everything very well,Positive,Mobile,Safari mobile,Explains everything very well,"Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3
139,Complete,2022-09-01,1.0,"if I could give it a 0 I would, the invoices on the page load very very slow",Negative,Desktop,Chrome,"if I could give it a 0 I would, the invoices on the page load very very slow","Sentiment(polarity=-0.39000000000000007, subjectivity=0.52)",-0.39000000000000007,0.52
140,Complete,2022-09-01,1.0,"I had a rental confirmed delivery , set up 8-10 am , put in card and confirmed and they have all of that but not the reservation so I dont have the equipment to complete the job on my deadline",Neutral,Mobile,Safari mobile,"I had a rental confirmed delivery , set up 8-10 am , put in card and confirmed and they have all of that but not the reservation so I dont have the equipment to complete the job on my deadline","Sentiment(polarity=0.3, subjectivity=0.7999999999999999)",0.3,0.7999999999999999
147,Complete,2022-09-01,2.0,"extremely slow, 'site not available, have to clear browsing history, times out, receiving receipts not dependable",Negative,Desktop,Chrome,"extremely slow, 'site not available, have to clear browsing history, times out, receiving receipts not dependable","Sentiment(polarity=-0.13333333333333333, subjectivity=0.39444444444444443)",-0.13333333333333333,0.39444444444444443
149,Complete,2022-09-01,1.0,SUPER LAGGY,Negative,Desktop,Chrome,SUPER LAGGY,"Sentiment(polarity=0.3333333333333333, subjectivity=0.6666666666666666)",0.3333333333333333,0.6666666666666666
150,Complete,2022-09-01,5.0,functionality.,Positive,Desktop,Chrome,functionality.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
151,Complete,2022-09-01,1.0,"Invoice Page frequently does not load.  It just stops with the processing wheel ""Preparing your Invoices...""",Negative,Desktop,Chrome,"Invoice Page frequently does not load. It just stops with the processing wheel ""Preparing your Invoices...""","Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3
152,Complete,2022-09-01,4.0,There's no option to request waivers directly from here.,Negative,Desktop,Chrome,There's no option to request waivers directly from here.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4
153,Complete,2022-09-01,1.0,"I'M TRYING TO RESET PASSWORD. I'M NOT RECEIVING THE EMAIL I'VE REQUESTED SEVERAL TIMES, BUT WHEN I TRY TO MAKE A NEW ACCOUNT, IT SAYS MINE ALREADY EXISTS.",Negative,Desktop,Chrome,"I'M TRYING To RESET PASSWORD. I'M NOT RECEIVING THE EMAIL I'E REQUESTED SEVERAL TIMES, UT WHEN I TR To MAKE A NEW ACCOUNT, In SAS MNE ALREADY EXISTS.","Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",0.06818181818181818,0.22727272727272727
154,Complete,2022-09-01,4.0,"It is very easy to use which is great, but I still don't quite understand the difference between Job Sites, Equipment, and Reservations. Not a huge deal as I eventually find what I need, but it seems a little confusing.",Mixed,Desktop,Chrome,"It is very easy to use which is great, but I still don't quite understand the difference between Job Sites, Equipment, and Reservations. Not a huge deal as I eventually find what I need, but it seems a little confusing.","Sentiment(polarity=0.13516666666666666, subjectivity=0.71)",0.13516666666666666,0.71
155,Complete,2022-09-01,2.0,there seems to issues a lot and surprise changes unaware of til trying to use it. Like the dates above invoice amounts no longer default a year but 120 days making one think older invoices are not listed,Negative,Desktop,Chrome,there seems to issues a lot and surprise changes unaware of til trying to use it. Like the dates above invoice amounts no longer default a year but 120 days making one think older invoices are not listed,"Sentiment(polarity=0.05555555555555555, subjectivity=0.3111111111111111)",0.05555555555555555,0.3111111111111111
156,Complete,2022-09-01,1.0,It seems like something is always wrong with the website - and it is extremely frustrating.,Negative,Desktop,Chrome,It seems like something is always wrong with the website - and it is extremely frustrating.,"Sentiment(polarity=-0.45, subjectivity=0.9)",-0.45,0.9
159,Complete,2022-09-01,3.0,delay's when requests are made,Negative,Desktop,Chrome,delay's when requests are made,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
161,Complete,2022-09-01,1.0,"won't load, can't find the info I'm lookimg for",Negative,Desktop,Chrome,"won't load, can't find the info I'm looking for","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
164,Complete,2022-09-01,4.0,always room for improvement,Positive,Desktop,Chrome,always room for improvement,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
167,Complete,2022-09-01,5.0,Not complicated to fill out,Positive,Desktop,Microsoft Edge,Not complicated to fill out,"Sentiment(polarity=0.25, subjectivity=1.0)",0.25,1.0
169,Complete,2022-09-01,5.0,Site is super easy to use,Positive,Desktop,Chrome,Site is super easy to use,"Sentiment(polarity=0.3833333333333333, subjectivity=0.75)",0.3833333333333333,0.75
171,Complete,2022-09-01,1.0,Very slow loading and it crashes my computer,Negative,Desktop,Chrome,Very slow loading and it crashes my computer,"Sentiment(polarity=-0.39000000000000007, subjectivity=0.52)",-0.39000000000000007,0.52
172,Complete,2022-09-01,4.0,Quick response,Positive,Mobile,Chrome Mobile,Quick response,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5)",0.3333333333333333,0.5
174,Complete,2022-09-01,5.0,Easy to use,Positive,Mobile,Safari mobile,Easy to use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
175,Complete,2022-09-01,4.0,Website prices are higher than calling and getting a quote for the same equipment. Makes the website purchasing system and pricing seem like a rip off for the convenience.,Negative,Desktop,Chrome,Website prices are higher than calling and getting a quote for the same equipment. Makes the website purchasing system and pricing seem like a rip off for the convenience.,"Sentiment(polarity=0.125, subjectivity=0.3125)",0.125,0.3125
176,Complete,2022-09-01,2.0,Site not loading or providing accessible invoices,Negative,Desktop,Chrome,Site not loading or providing accessible invoices,"Sentiment(polarity=0.375, subjectivity=0.375)",0.375,0.375
178,Complete,2022-09-01,1.0,the new website sucks,Negative,Desktop,Microsoft Edge,the new website sucks,"Sentiment(polarity=-0.08181818181818182, subjectivity=0.37727272727272726)",-0.08181818181818182,0.37727272727272726
180,Complete,2022-09-01,1.0,Consistent issues,Negative,Desktop,Chrome,Consistent issues,"Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25
181,Complete,2022-09-01,5.0,its easy to figure out what you want!,Positive,Desktop,Chrome,its easy to figure out what you want!,"Sentiment(polarity=0.5416666666666667, subjectivity=0.8333333333333334)",0.5416666666666667,0.8333333333333334
182,Complete,2022-09-01,5.0,my strategic team is awsome,Positive,Desktop,Chrome,my strategic team is awesome,"Sentiment(polarity=1.0, subjectivity=1.0)",1.0,1.0
185,Complete,2022-09-01,4.0,It seems easy to navigate and order but I'm still in the process and not sure how it will all turn out.,Mixed,Desktop,Firefox,It seems easy to navigate and order but I'm still in the process and not sure how it will all turn out.,"Sentiment(polarity=0.09166666666666667, subjectivity=0.8611111111111112)",0.09166666666666667,0.8611111111111112
186,Complete,2022-09-01,2.0,"System slow, receipts not being received and customers are calling complaining about online system with same issues.",Negative,Desktop,Chrome,"System slow, receipts not being received and customers are calling complaining about online system with same issues.","Sentiment(polarity=-0.15000000000000002, subjectivity=0.26249999999999996)",-0.15000000000000002,0.26249999999999996
188,Complete,2022-09-01,2.0,Slow responce,Negative,Mobile,Mobile Samsung Browser,Slow response,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
189,Complete,2022-09-01,5.0,Very Easy to use and navigate,Positive,Desktop,Chrome,Very Easy to use and navigate,"Sentiment(polarity=0.5633333333333334, subjectivity=1.0)",0.5633333333333334,1.0
190,Complete,2022-09-01,5.0,Great and efficient customer service!,Positive,Desktop,Microsoft Edge,Great and efficient customer service!,"Sentiment(polarity=1.0, subjectivity=0.75)",1.0,0.75
191,Complete,2022-09-01,2.0,Still having sign in issues all this week.,Negative,Desktop,Chrome,Still having sign in issues all this week.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
192,Complete,2022-09-01,5.0,Quick response,Positive,Mobile,Google App,Quick response,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5)",0.3333333333333333,0.5
193,Complete,2022-09-01,5.0,Because I’ve never had a problem and when I did they always took care of it,Positive,Mobile,Google App,Because I’ve never had a problem and when I did they always took care of it,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
194,Complete,2022-09-01,1.0,my account has been disabled,Neutral,Desktop,Chrome,my account has been disabled,"Sentiment(polarity=-0.2, subjectivity=0.3)",-0.2,0.3
196,Complete,2022-09-01,1.0,credits should not be applied behind the scenes and should be available for the customer to apply as they process payments.,Negative,Desktop,Chrome,credits should not be applied behind the scenes and should be available for the customer to apply as they process payments.,"Sentiment(polarity=0.0, subjectivity=0.55)",0.0,0.55
197,Complete,2022-09-01,2.0,Looping several times before accepting address,Negative,Mobile,Chrome Mobile,Looking several times before accepting address,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
200,Complete,2022-09-01,5.0,Easy to find information,Positive,Desktop,Chrome,Easy to find information,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
201,Complete,2022-09-01,1.0,there is no receipt of payment,Negative,Desktop,Chrome,there is no receipt of payment,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
203,Complete,2022-09-01,5.0,Very simple to navigate,Positive,Mobile,Safari mobile,Very simple to navigate,"Sentiment(polarity=0.0, subjectivity=0.4642857142857143)",0.0,0.4642857142857143
204,Complete,2022-09-01,1.0,VERY SLOW,Negative,Desktop,Chrome,VERY SLO,"Sentiment(polarity=0.2, subjectivity=0.3)",0.2,0.3
206,Complete,2022-09-01,3.0,sometimes it freezes up and doesn't work,Negative,Desktop,Chrome,sometimes it freezes up and doesn't work,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
207,Complete,2022-09-01,5.0,Quick and easy website to navigate,Positive,Desktop,Chrome,Quick and easy website to navigate,"Sentiment(polarity=0.3833333333333333, subjectivity=0.6666666666666667)",0.3833333333333333,0.6666666666666667
208,Complete,2022-09-01,5.0,Stephany Gailey is the best.,Positive,Desktop,Chrome,Stephan Bailey is the best.,"Sentiment(polarity=1.0, subjectivity=0.3)",1.0,0.3
209,Complete,2022-09-01,2.0,slow,Negative,Desktop,Chrome,slow,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
210,Complete,2022-09-01,5.0,Because you are the best!,Positive,Desktop,Chrome,Because you are the best!,"Sentiment(polarity=1.0, subjectivity=0.3)",1.0,0.3
212,Complete,2022-09-01,1.0,"slow, takes 7 minutes to load info on equipment i need specs on",Negative,Desktop,Chrome,"slow, takes 7 minutes to load info on equipment i need specs on","Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)",-0.30000000000000004,0.39999999999999997
